# .test .cputime .temperature .time_mat1 .time_mat2
248 0.264624  6.331 0.002096 0.003395
249 0.256017  4.870 0.002037 0.002588
250 0.254976  5.357 0.002080 0.002618
251 0.258147  4.870 0.002033 0.002760
252 0.262438  5.357 0.002113 0.002841
253 0.258530  6.331 0.002102 0.002720
254 0.258826  5.844 0.002075 0.002716
255 0.270930  4.870 0.002102 0.002840
256 0.261681  5.844 0.002241 0.002795
257 0.272077  6.331 0.002135 0.002888
258 0.262562  6.818 0.002178 0.002869
259 0.265191  5.844 0.002167 0.002960
260 0.264670  7.305 0.002255 0.002899
261 0.267379  5.357 0.002202 0.003098
262 0.267531  5.844 0.002206 0.002985
263 0.269851  6.331 0.002250 0.003115
264 0.269108  5.357 0.002341 0.003043
265 0.270602  5.844 0.002276 0.003203
266 0.271551  5.844 0.002346 0.003068
267 0.280900  5.844 0.002252 0.003160
268 0.272948  5.844 0.002329 0.003196
269 0.274018  6.818 0.002387 0.003156
270 0.275151  6.818 0.002391 0.003190
271 0.278122  7.305 0.002313 0.003250
272 0.278333  7.305 0.002423 0.003261
273 0.276409  5.844 0.002449 0.003286
274 0.278765  6.818 0.002479 0.003414
275 0.280163  5.844 0.002451 0.003354
276 0.281270  5.844 0.002452 0.003410
277 0.279126  5.844 0.002519 0.003524
278 0.282625  6.818 0.002528 0.003546
279 0.282973  7.305 0.002483 0.003520
280 0.283124  6.818 0.002487 0.003545
281 0.286092  6.818 0.002521 0.003659
282 0.285574  6.818 0.002626 0.003579
283 0.287997  6.331 0.002567 0.003639
284 0.303910  6.818 0.002609 0.004056
285 0.290606  7.305 0.002608 0.003710
286 0.290813  7.792 0.002668 0.003727
287 0.288260  6.818 0.002754 0.003831
288 0.295415  7.305 0.002737 0.003875
289 0.294336  6.818 0.002680 0.003841
290 0.294485  6.818 0.002706 0.003847
291 0.296567  6.331 0.002782 0.004096
292 0.296530  6.818 0.002845 0.003926
293 0.298953  5.844 0.002826 0.003985
294 0.298803  7.305 0.002794 0.003986
295 0.299451  7.305 0.002857 0.004151
296 0.300457  7.305 0.002835 0.004161
297 0.300217  5.844 0.002839 0.004085
298 0.299261  5.357 0.002870 0.004159
299 0.302040  6.331 0.002934 0.004170
300 0.302142  7.305 0.002904 0.004232
301 0.315103  6.818 0.002988 0.004392
302 0.307145  6.331 0.002919 0.004344
303 0.308138  7.305 0.003041 0.004369
304 0.313206  6.331 0.003137 0.004386
305 0.310638  6.331 0.003134 0.004398
306 0.313160  6.331 0.003130 0.004433
307 0.314775  5.844 0.003076 0.004407
308 0.315502  6.818 0.003119 0.004873
309 0.314815  8.279 0.003232 0.004504
310 0.314807  5.357 0.003075 0.004532
311 0.316732  7.305 0.003189 0.004692
312 0.316179  6.818 0.003142 0.004622
313 0.318829  7.792 0.003254 0.004731
314 0.317059  6.331 0.003164 0.004797
315 0.319147  7.792 0.003289 0.004730
316 0.331916  6.818 0.003241 0.004832
317 0.322873  7.792 0.003310 0.004904
318 0.323468  6.331 0.003236 0.004900
319 0.329376  7.305 0.003296 0.004913
320 0.324461  5.844 0.003454 0.005109
321 0.326221  6.818 0.003388 0.005010
322 0.326440  7.305 0.003393 0.005066
323 0.327464  5.844 0.003348 0.005108
324 0.328793  8.279 0.003436 0.005063
325 0.328066  6.818 0.003477 0.005108
326 0.331830  7.792 0.003497 0.005137
327 0.331372  7.305 0.003525 0.005232
328 0.333942  6.818 0.003509 0.005532
329 0.334278  7.305 0.003479 0.005346
330 0.334210  7.305 0.003577 0.005348
331 0.345273  7.305 0.003524 0.005483
332 0.338060  6.331 0.003653 0.005393
333 0.337966  7.305 0.003628 0.005496
334 0.341655  6.818 0.003660 0.005462
